Frame,Object ID,Class,Speed (km/h)
234,300,car,126.80
237,274,car,111.44
237,292,car,111.44
240,274,car,111.30
240,292,car,111.30
243,274,car,135.77
243,292,car,135.77
246,274,car,126.64
246,292,car,126.64
249,274,car,124.99
249,292,car,125.21
249,305,bus,
252,304,car,117.59
252,307,traffic light,
252,308,truck,
252,308,bus,
252,311,truck,
252,292,car,117.21
255,304,car,129.85
255,310,car,129.86
255,292,car,129.86
255,311,bus,
258,313,car,133.60
258,304,car,132.89
258,314,car,133.37
258,317,person,
258,292,car,132.88
261,316,car,111.10
261,304,car,111.10
261,317,person,
261,314,car,110.75
261,292,car,111.10
261,313,car,110.27
264,321,car,125.50
264,316,car,125.06
264,304,car,125.49
264,314,car,125.49
264,292,car,125.49
264,323,car,125.49
264,317,person,
267,324,car,133.17
267,304,car,133.17
267,314,car,133.17
267,317,person,
267,316,car,133.17
267,327,person,
267,292,car,133.17
270,304,car,122.66
270,326,car,122.66
270,314,car,122.24
270,330,truck,
270,314,person,
270,292,car,122.24
270,332,person,
270,328,car,122.24
270,314,person,
273,304,car,120.07
273,328,car,120.48
273,331,car,120.48
273,314,person,
273,314,person,
276,304,car,115.31
276,314,car,58.92
276,331,car,115.31
276,328,car,115.31
279,304,car,121.16
279,331,car,121.16
279,342,person,
279,339,car,121.16
279,338,car,120.74
282,304,car,115.14
282,331,car,115.14
282,346,traffic light,
282,339,car,115.14
285,304,car,125.22
285,347,car,125.22
285,339,car,124.79
285,331,car,124.79
288,304,car,146.32
288,331,car,146.92
288,352,person,
288,339,car,146.92
288,356,motorcycle,
291,304,car,109.50
291,357,motorcycle,
291,339,car,109.50
294,304,car,135.66
294,360,motorcycle,
294,358,person,
294,339,car,135.66
294,362,person,
294,363,person,
297,304,car,138.21
297,365,motorcycle,
297,339,car,138.21
300,304,car,138.27
300,366,bus,
300,365,motorcycle,
300,339,car,138.27
303,304,car,107.19
303,369,traffic light,
303,365,motorcycle,
303,368,bus,
306,304,car,120.04
